-	2: 404.title	[...slug]	The page you're looking for can't be found.	Die gewünschte Seite wurde nicht gefunden.	
-	bgk-wr-o8T.title	Main	Don't remind me again	Nicht wieder erinnern	Restore Defaults Popover > Don't Remind Toggle > Label \n\nNOTE: This is the label for a checkbox letting the user tell the app not to be reminded again to load the recommended button settings for their mouse. \n\nNOTE: This text is displayed below the text with the key `restore-default-buttons-popover.body`, which is defined in the 'Localizable' file.
+	bgk-wr-o8T.title	Main	Don't remind me again	Nicht mehr erinnern	Restore Defaults Popover > Don't Remind Toggle > Label \n\nNOTE: This is the label for a checkbox letting the user tell the app not to be reminded again to load the recommended button settings for their mouse. \n\nNOTE: This text is displayed below the text with the key `restore-default-buttons-popover.body`, which is defined in the 'Localizable' file.
-	bQf-qv-mvB.title	Main	Submit Feedback	Feedback einreichen	About > Submit Feedback Link
+	bQf-qv-mvB.title	Main	Submit Feedback	Feedback senden	About > Submit Feedback Link
-	d0g-07-PaJ.title	Main	Buy Mac Mouse Fix...	Mac Mouse Fix kaufen...	Main Menu > Mac Mouse Fix > Buy Mac Mouse Fix...
+	d0g-07-PaJ.title	Main	Buy Mac Mouse Fix...	Mac Mouse Fix kaufen …	Main Menu > Mac Mouse Fix > Buy Mac Mouse Fix...
-	eVc-l9-Z0h.title	Main	Get Help	Hilfe bekommen	About > Help Link
+	eVc-l9-Z0h.title	Main	Get Help	Hilfe erhalten	About > Help Link
-	gK0-1z-Pjv.title	Main	Reverse Direction	Richtung umkehren	Scrolling > Reverse Scroll Direction Toggle
+	gK0-1z-Pjv.title	Main	Reverse Direction	Scrollrichtung umkehren	Scrolling > Reverse Scroll Direction Toggle
-	H4T-Rp-t33.title	Main	Zoom In or Out	Rein- oder rauszoomen	Scrolling > Keyboard Modifiers > Zoom In or Out Label
+	H4T-Rp-t33.title	Main	Zoom In or Out	Vergrößern oder Verkleinern	Scrolling > Keyboard Modifiers > Zoom In or Out Label
-	Hur-83-2a2.title	Main	Options...	Optionen...	Buttons > Options... Button
+	Hur-83-2a2.title	Main	Options...	Optionen …	Buttons > Options... Button
-	ILO-GQ-vNk.title	Main	Show in Menu Bar	In der Menüleiste anzeigen	General > Show in Menu Bar Toggle
+	ILO-GQ-vNk.title	Main	Show in Menu Bar	In Menüleiste anzeigen	General > Show in Menu Bar Toggle
-	l7d-al-Y14.title	Main	Speed:	Tempo:	Scrolling > Scroll Speed Label
+	l7d-al-Y14.title	Main	Speed:	Geschwindigkeit:	Scrolling > Scroll Speed Label
-	lrw-Lp-nQ4.title	Main	Restore Defaults...	Standard wiederherstellen...	Buttons > Restore Defaults... Button
+	lrw-Lp-nQ4.title	Main	Restore Defaults...	Standard wiederherstellen …	Buttons > Restore Defaults... Button
-	mWQ-i7-vza.ibShadowedToolTip	Main	Hold Command (⌘) and Shift (⇧), then click this icon to reveal Mac Mouse Fix's configuration file in Finder	Halte die Befehlstaste (⌘) und die Umschalttaste (⇧), dann klicke dieses Icon, um die Konfigurationsdatei von Mac Mouse Fix im Finder anzuzeigen	About > Mac Mouse Fix Icon > Tooltip
+	mWQ-i7-vza.ibShadowedToolTip	Main	Hold Command (⌘) and Shift (⇧), then click this icon to reveal Mac Mouse Fix's configuration file in Finder	Halte Befehlstaste (⌘) und Umschalttaste (⇧) gedrückt und klicke dann auf dieses Symbol, um die Konfigurationsdatei von Mac Mouse Fix im Finder anzuzeigen	About > Mac Mouse Fix Icon > Tooltip
-	N7H-9j-DIr.title	Main	Move the mouse pointer inside the '+' field, then *Click* a mouse button to assign an action to it.\nYou can also *Double Click*, *Click and Drag* and more.	Bewege den Mauszeiger in das '+' Feld, dann *klicke* eine Maustaste, um ihr eine Aktion zuzuweisen.\nDu kannst auch *doppelklicken*, *klicken und ziehen*, und mehr.	Buttons > Add Field Hint\n\nNote:\n\nThe emphasized bits like *Double Click* or *Click and Drag* should ideally match the text seen in the Action Table (Such as trigger.substring.drag.1, trigger.substring.click.2, etc.). This should help the user draw the connection to the Action Table (which appears in the UI right below this hint as of [Dec 2025])\n\nNote to self:\n\nIf we ever write an article listing all the possible triggers, we could link it from "and more".
+	N7H-9j-DIr.title	Main	Move the mouse pointer inside the '+' field, then *Click* a mouse button to assign an action to it.\nYou can also *Double Click*, *Click and Drag* and more.	Bewege den Mauszeiger in das „+"-Feld, dann *klicke* eine Maustaste, um ihr eine Aktion zuzuweisen.\nDu kannst auch *doppelklicken*, *klicken und ziehen* und mehr.	Buttons > Add Field Hint\n\nNote:\n\nThe emphasized bits like *Double Click* or *Click and Drag* should ideally match the text seen in the Action Table (Such as trigger.substring.drag.1, trigger.substring.click.2, etc.). This should help the user draw the connection to the Action Table (which appears in the UI right below this hint as of [Dec 2025])\n\nNote to self:\n\nIf we ever write an article listing all the possible triggers, we could link it from "and more".
-	N65-aN-Hxp.title	Main	Trackpad Simulation	Trackpadsimulation	Scrolling > Trackpad Simulation Toggle
+	N65-aN-Hxp.title	Main	Trackpad Simulation	Trackpad-Simulation	Scrolling > Trackpad Simulation Toggle
-	NdF-Gb-mOK.title	Main	Minimize	Minimieren	Main Menu > Window > Minimize
+	NdF-Gb-mOK.title	Main	Minimize	Im Dock ablegen	Main Menu > Window > Minimize
-	oEX-Tp-9Cv.title	Main	Select All	Alle auswählen	Main Menu > Edit > Select All
+	oEX-Tp-9Cv.title	Main	Select All	Alles auswählen	Main Menu > Edit > Select All
-	Ozk-o9-C4a.title	Main	Visit the Website	Besuche die Webseite	About > Website Link
+	Ozk-o9-C4a.title	Main	Visit the Website	Website besuchen	About > Website Link
-	pMz-a0-1UQ.title	Main	Created by Noah Nuebling	Gemacht von Noah Nübling	About > Created By Label
+	pMz-a0-1UQ.title	Main	Created by Noah Nuebling	Erstellt von Noah Nuebling	About > Created By Label
-	QaW-cc-uzc.title	Main	Send Me an Email	Sende mir eine E-Mail	About > Send Email Link
+	QaW-cc-uzc.title	Main	Send Me an Email	Schreib mir eine E-Mail	About > Send Email Link
-	RV9-5T-rvb.title	Main	Enable Mac Mouse Fix	Mac Mouse Fix einschalten	General > Enable Mac Mouse Fix Label
+	RV9-5T-rvb.title	Main	Enable Mac Mouse Fix	Mac Mouse Fix aktivieren	General > Enable Mac Mouse Fix Label
-	SaY-fF-d1s.title	Main	You'll be notified of updates when you open this window	Du wirst über Updates benachrichtigt werden, wenn du dieses Fenster öffnest	General > Check for Updates Toggle > Hint
+	SaY-fF-d1s.title	Main	You'll be notified of updates when you open this window	Du wirst über Updates benachrichtigt, wenn du dieses Fenster öffnest	General > Check for Updates Toggle > Hint
-	TrI-uu-DEN.title	Main	Buy Me a Milkshake :)	Spendier mir einen Milchshake :)	About > Milkshake Link
+	TrI-uu-DEN.title	Main	Buy Me a Milkshake :)	Kauf mir einen Milchshake :)	About > Milkshake Link
-	vbN-zN-z2V.title	Main	Keyboard Modifiers:	Sondertasten:	Scrolling > Keyboard Modifiers Label
+	vbN-zN-z2V.title	Main	Keyboard Modifiers:	Tastaturmodifikatoren:	Scrolling > Keyboard Modifiers Label
-	YBT-Ar-F4S.title	Main	Activate License...	Lizenz aktivieren...	Main Menu > Mac Mouse Fix > Activate License...
+	YBT-Ar-F4S.title	Main	Activate License...	Lizenz aktivieren …	Main Menu > Mac Mouse Fix > Activate License...
-	ZMA-p0-2lf.title	Main	Check It Out on GitHub	Schau es dir auf GitHub an	About > GitHub Link
+	ZMA-p0-2lf.title	Main	Check It Out on GitHub	Auf GitHub ansehen	About > GitHub Link
-	lb0-HS-5Kv.title	MenuBarItem	Open Mac Mouse Fix...	Mac Mouse Fix öffnen...	
+	lb0-HS-5Kv.title	MenuBarItem	Open Mac Mouse Fix...	Mac Mouse Fix öffnen …	
-	quotes.0	Quotes	Among all apps that try to fix this problem, this one is undoubtly the best!	Unter allen Apps, die versuchen, dieses Problem zu lösen, ist diese zweifellos die beste!	
+	quotes.0	Quotes	Among all apps that try to fix this problem, this one is undoubtly the best!	Unter allen Apps, die versuchen, dieses Problem zu beheben, ist diese zweifellos die beste!	
-	quotes.1	Quotes	Mac Mouse Fix is literally everything you could want in your experience of using a mouse with OSX.	Mac Mouse Fix ist buchstäblich alles, was man sich für die Nutzung einer Maus mit OSX wünschen könnte.	
+	quotes.1	Quotes	Mac Mouse Fix is literally everything you could want in your experience of using a mouse with OSX.	Mac Mouse Fix ist buchstäblich alles, was man sich für die Nutzung einer Maus mit OSX wünschen kann.	
-	quotes.2	Quotes	Works like a charm and it's easy to set up!	Funktioniert wie ein Zauber und ist kinderleicht einzurichten!	
+	quotes.2	Quotes	Works like a charm and it's easy to set up!	Funktioniert einwandfrei und ist einfach einzurichten!	
-	quotes.3	Quotes	This is the best mouse software on the Mac.	Dies ist die beste Maussoftware für den Mac.	
+	quotes.3	Quotes	This is the best mouse software on the Mac.	Das ist die beste Maus-Software auf dem Mac.	
-	quotes.4	Quotes	Thank you for the amazing app in Mac Mouse Fix. Just what I needed, no subscription and no bloat. Thank you so much!	Vielen Dank für die fantastische App Mac Mouse Fix. Genau das, was ich gebraucht habe, ohne Abonnement und ohne unnötigen Ballast. Vielen, vielen Dank!	
+	quotes.4	Quotes	Thank you for the amazing app in Mac Mouse Fix. Just what I needed, no subscription and no bloat. Thank you so much!	Danke für die tolle App Mac Mouse Fix. Genau das, was ich brauchte, kein Abo und kein Ballast. Vielen Dank!	
-	quotes.5	Quotes	Mac Mouse Fix is magical. I am absolutely blown away by how well-designed and user-friendly it is.	Mac Mouse Fix ist magisch. Ich bin absolut hin und weg, wie gut gestaltet und benutzerfreundlich es ist.	
+	quotes.5	Quotes	Mac Mouse Fix is magical. I am absolutely blown away by how well-designed and user-friendly it is.	Mac Mouse Fix ist magisch. Ich bin absolut begeistert, wie gut durchdacht und benutzerfreundlich es ist.	
-	quotes.6	Quotes	Cannot imagine using my office Mac without this software. Real productivity booster paired with my evoluent vertical mouse which does not have a driver for Mac like they do for Windows.	Ich kann mir nicht vorstellen, meinen Büro-Mac ohne diese Software zu verwenden. Ein echter Produktivitätsverstärker, gepaart mit meiner Evoluent-Vertikalmaus, für die es keinen Mac-Treiber gibt, wie es ihn für Windows gibt.	
+	quotes.6	Quotes	Cannot imagine using my office Mac without this software. Real productivity booster paired with my evoluent vertical mouse which does not have a driver for Mac like they do for Windows.	Kann mir nicht vorstellen, meinen Büro-Mac ohne diese Software zu benutzen. Ein echter Produktivitätsbooster zusammen mit meiner Evoluent Vertikalmaus, die keinen Treiber für Mac hat wie für Windows.	
-	quotes.8	Quotes	Probably the best app on my Mac	Wahrscheinlich die beste App auf meinem Mac.	
+	quotes.8	Quotes	Probably the best app on my Mac	Wahrscheinlich die beste App auf meinem Mac	
-	quotes.9	Quotes	No other similar utility can compete	Keine andere ähnliche Software kann konkurrieren.	
+	quotes.9	Quotes	No other similar utility can compete	Kein anderes vergleichbares Tool kann mithalten	
-	quotes.10	Quotes	A must have app for any Mac user with a mouse.	Eine Muss-App für jeden Mac-Benutzer mit einer Maus.	
+	quotes.10	Quotes	A must have app for any Mac user with a mouse.	Ein Muss für jeden Mac-Benutzer mit einer Maus.	
-	quotes.12	Quotes	This has nearly doubled my productivity.	Es hat meine Produktivität fast verdoppelt.	
+	quotes.12	Quotes	This has nearly doubled my productivity.	Das hat meine Produktivität fast verdoppelt.	
-	quotes.14	Quotes	Love this app so much, it's a must-have!	Ich liebe diese App so sehr, sie ist ein Muss!	
+	quotes.14	Quotes	Love this app so much, it's a must-have!	Liebe diese App so sehr, sie ist ein Muss!	
-	quotes.17	Quotes	Mac Mouse Fix is the best in its class!	Mac Mouse Fix ist das Beste seiner Klasse!	
+	quotes.17	Quotes	Mac Mouse Fix is the best in its class!	Mac Mouse Fix ist die beste in ihrer Klasse!	
-	quotes.18	Quotes	The vertical scroll is just awesome	Das vertikale Scrollen ist einfach genial.	
+	quotes.18	Quotes	The vertical scroll is just awesome	Das vertikale Scrollen ist einfach großartig	
-	quotes.19	Quotes	Click & drag for switching between the screens feels so native.	Klicken & Ziehen zum Wechseln zwischen den Bildschirmen fühlt sich so natürlich an.	
+	quotes.19	Quotes	Click & drag for switching between the screens feels so native.	Klicken & Ziehen zum Wechseln zwischen Bildschirmen fühlt sich so nativ an.	
-	quotes.20	Quotes	I've been wanting to get rid of my Magic Mouse for a while and because of your app, I can do just that!	Ich wollte schon seit einer Weile meine Magic Mouse loswerden und dank deiner App kann ich das jetzt auch!	
+	quotes.20	Quotes	I've been wanting to get rid of my Magic Mouse for a while and because of your app, I can do just that!	Ich wollte schon eine Weile meine Magic Mouse loswerden und dank deiner App kann ich das jetzt!	
-	quotes.21	Quotes	I recommend Mac Mouse Fix, honestly it’s the cheapest, simple, and most well coded app I have yet seen.	Ich empfehle Mac Mouse Fix, ehrlich gesagt ist es die preisgünstigste, einfachste und am besten programmierte App, die ich bis jetzt gesehen habe.	
+	quotes.21	Quotes	I recommend Mac Mouse Fix, honestly it’s the cheapest, simple, and most well coded app I have yet seen.	Ich empfehle Mac Mouse Fix, ehrlich gesagt ist es die günstigste, einfachste und am besten programmierte App, die ich bisher gesehen habe.	
-	quotes.22	Quotes	Thank you, saved me from buying an apple mouse	Danke, du hast mich davor bewahrt, eine Apple-Maus zu kaufen	
+	quotes.22	Quotes	Thank you, saved me from buying an apple mouse	Danke, hat mich davor bewahrt, eine Apple-Maus zu kaufen	
-	quotes.24	Quotes	I spent last week without it and my whole workflow was interrupted. Thank you for such a brilliant app.	Ich habe letzte Woche ohne die App verbracht und mein ganzer Arbeitsablauf war unterbrochen. Vielen Dank für so eine brillante App.	
+	quotes.24	Quotes	I spent last week without it and my whole workflow was interrupted. Thank you for such a brilliant app.	Letzte Woche war ich ohne es und mein ganzer Arbeitsablauf war unterbrochen. Danke für so eine brillante App.	
